Idx,Word,Mean,Weight
1,abide by ,遵守(comply with;conform),
1,agreement,協議(contract)<setting name="WordFile" serializeAs="String"><setting name="WordFile" serializeAs="String"><setting name="WordFile" serializeAs="String">,
1,assurance,保證(guarantee;confidence),
1,cancellation,消除(annulment;stopping),
1,determine,決定(to find out;to influence),
1,engage,聘用;參加(participate;involve),
1,establish,建立,
1,obligate,(to bind legally or morally),
1,party,<setting name="WordFile" serializeAs="String">,
1,provision,規定<setting name="WordFile" serializeAs="String"><setting name="WordFile" serializeAs="String">,
1,resolve,解決<setting name="WordFile" serializeAs="String"><setting name="WordFile" serializeAs="String">,
1,specific,具體;特定(particular)<setting name="WordFile" serializeAs="String"><setting name="WordFile" serializeAs="String">,